male_male,female_female,male_mixed,female_mixed,highcapture,highcapital,cashtreat,equiptreat,sheno,hourslastweek,inventories,useasusu,wave,finalsales,realfinalprofit,married,educ_years,age,firmage,business_taxnumber,digitspan,expend_health_3months,expend_education_3months,expend_total_3months,trimgroup,timecash,timeequip,timetreat,totalK,control,businesshome,akanspeaker,gaspeaker,everloan,fem,treatment,after
0,1,0,0,0,1,0,0,110101604,84,700,0,5,1300,351.57537841796875,0,12,27,4,1,6,5,0,45,NA,0,0,0,900,TRUE,1,1,0,0,1,0,TRUE
0,1,0,0,0,1,0,0,110101604,98,150,0,3,1200,205.72216796875,0,12,27,4,1,6,0,0,32,NA,0,0,0,350,TRUE,1,1,0,0,1,0,TRUE
0,1,0,0,0,1,0,0,110101604,98,600,1,6,1500,402.12939453125,0,12,27,4,1,6,23,0,73,NA,0,0,0,800,TRUE,1,1,0,0,1,0,TRUE
0,1,0,0,0,1,0,0,110101604,98,200,0,4,1200,322.3311462402344,0,12,27,4,1,6,0,0,25,NA,0,0,0,400,TRUE,1,1,0,0,1,0,TRUE
0,1,0,0,0,1,0,0,110101604,98,50,0,2,900,228.24649047851563,0,12,27,4,1,6,0,0,30,NA,0,0,0,250,TRUE,1,1,0,0,1,0,FALSE
0,0,0,1,0,1,0,0,110101605,50,600,0,6,1750,241.2776336669922,0,10,36,7,1,6,0,0,40,NA,0,0,0,620,TRUE,1,1,0,0,1,0,TRUE
0,0,0,1,0,1,0,0,110101605,72,160,1,2,80,36.519439697265625,0,10,36,7,1,6,0,150,150,NA,0,0,0,180,TRUE,1,1,0,0,1,0,FALSE
0,0,0,1,0,1,0,0,110101605,32,900,0,5,1800,307.6284484863281,0,10,36,7,1,6,0,180,180,NA,0,0,0,920,TRUE,1,1,0,0,1,0,TRUE
0,0,0,1,0,1,0,0,110101605,50,400,0,4,3200,261.3495788574219,0,10,36,7,1,6,0,0,0,NA,0,0,0,420,TRUE,1,1,0,0,1,0,TRUE
0,0,0,1,0,1,0,0,110101605,55,500,1,3,3300,246.86659240722656,0,10,36,7,1,6,10,40,50,NA,0,0,0,520,TRUE,1,1,0,0,1,0,TRUE
0,0,1,0,0,1,0,0,110201003,72,300,1,2,800,182.59718322753906,0,12,23,4,0,6,0,0,0,NA,0,0,0,300,TRUE,1,1,0,0,0,0,FALSE
0,0,1,0,0,1,0,0,110201003,72,120,0,4,1300,174.23304748535156,0,12,23,4,0,6,0,0,0,NA,0,0,0,120,TRUE,1,1,0,0,0,0,TRUE
0,0,1,0,0,1,0,0,110201003,72,150,0,5,1200,175.78768920898438,0,12,23,4,0,6,0,0,40,NA,0,0,0,150,TRUE,1,1,0,0,0,0,TRUE
0,0,1,0,0,1,0,0,110201003,72,200,0,6,1250,160.8517608642578,0,12,23,4,0,6,0,0,0,NA,0,0,0,200,TRUE,1,1,0,0,0,0,TRUE
0,0,1,0,0,1,0,0,110201003,66,100,0,3,1200,205.72216796875,0,12,23,4,0,6,0,0,0,NA,0,0,0,100,TRUE,1,1,0,0,0,0,TRUE
0,0,1,0,0,1,0,0,110201004,24,1000,0,4,1800,609.815673828125,1,10,39,15,0,5,0,0,0,NA,0,0,0,1000,TRUE,1,1,0,0,0,0,TRUE
0,0,1,0,0,1,0,0,110201004,40,500,0,5,1800,615.25689697265625,1,10,39,15,0,5,30,0,107,NA,0,0,0,500,TRUE,1,1,0,0,0,0,TRUE
0,0,1,0,0,1,0,0,110201004,40,900,0,3,950,205.72216796875,1,10,39,15,0,5,0,0,0,NA,0,0,0,900,TRUE,1,1,0,0,0,0,TRUE
0,0,1,0,0,1,0,0,110201004,40,0,0,2,750,136.94789123535156,1,10,39,15,0,5,0,0,0,NA,0,0,0,0,TRUE,1,1,0,0,0,0,FALSE
0,0,1,0,0,1,0,0,110201004,72,1200,0,6,2300,402.12939453125,1,10,39,15,0,5,4.5,180,574.5,NA,0,0,0,1200,TRUE,1,1,0,0,0,0,TRUE
0,0,1,0,1,1,0,1,110201005,112,0,0,3,1800,246.86659240722656,1,12,35,4,1,9,0,0,20,NA,0,1,1,971,FALSE,1,0,1,0,0,1,TRUE
0,0,1,0,1,1,0,1,110201005,90,100,0,4,1200,87.11652374267578,1,12,35,4,1,9,0,0,0,NA,0,2,2,1071,FALSE,1,0,1,0,0,1,TRUE
