location_type,FACILITY_ID,DOCTOR_ID,facility,facilitycode,roster_6a8,theta_mle
1,10101,1010101,NA,1,4,1.75478994846344
1,10202,1020204,NA,2,4,0.16109299659729004
1,10303,1030301,NA,3,4,-3.496340036392212
1,10404,1040401,NA,4,4,-0.8668959736824036
1,10505,1050501,NA,5,4,-3.6669199466705322
1,10506,1050601,NA,6,6,-0.48919999599456787
1,10607,1060701,NA,7,4,-1.3191499710083008
1,10608,1060801,NA,8,2,-1.7638499736785889
1,10709,1070901,NA,9,4,1.0416200160980225
1,10710,1071001,NA,10,4,-1.1988400220870972
1,10912,1091201,NA,12,4,0.37338799238204956
1,11013,1101301,NA,13,2,-4.801159858703613
1,11114,1111401,NA,14,4,-0.2663689851760864
1,11215,1121501,NA,15,4,0.00534068001434207
1,11316,1131601,NA,16,4,-1.2615599632263184
1,11417,1141701,NA,17,2,-2.2366299629211426
1,11417,1141702,NA,17,2,-0.08615720272064209
1,11418,1141801,NA,18,2,-1.7464200258255005
1,11419,1141901,NA,19,2,-2.360640048980713
1,11420,1142001,NA,20,2,-0.09952910244464874
1,11521,1152101,NA,21,4,-0.9343950152397156
1,11522,1152201,NA,22,4,0.4806790053844452
1,11623,1162301,NA,23,4,-0.17197999358177185
1,11624,1162401,NA,24,6,0.0732904002070427
1,11625,1162501,NA,25,2,-1.0692299604415894
1,11626,1162601,NA,26,4,-2.7597100734710693
1,11627,1162710,NA,27,6,0.8680160045623779
1,11628,1162801,NA,28,4,-1.7945599555969238
1,11629,1162901,NA,29,2,-2.4726600646972656
1,11630,1163001,NA,30,6,-1.6043000221252441
1,11631,1163101,NA,31,6,-1.090749979019165
1,11632,1163201,NA,32,4,-2.2454299926757813
1,11733,1173301,NA,33,4,-0.31838101148605347
1,11734,1173403,NA,34,2,-0.06267129629850388
1,11735,1173501,NA,35,2,0.280036985874176
1,11736,1173601,NA,36,4,-0.5386379957199097
1,11837,1183701,NA,37,4,-0.7079899907112122
1,11838,1183801,NA,38,6,-0.1908389925956726
1,11939,1193901,NA,39,4,-1.517989993095398
1,11940,1194001,NA,40,4,-0.4910750091075897
1,11941,1194102,NA,41,6,-0.7440869808197021
1,12042,1204203,NA,42,2,-1.0176000595092773
1,12042,1204208,NA,42,2,-2.012120008468628
1,12042,1204210,NA,42,4,-0.8585259914398193
1,12043,1204301,NA,43,2,-1.57492995262146
1,12144,1214401,NA,44,2,-1.7350300550460815
1,12145,1214501,NA,45,2,-4.711480140686035
1,12146,1214601,NA,46,4,-0.7774339914321899
1,12147,1214701,NA,47,2,-0.26870301365852356
1,12148,1214801,NA,48,4,0.14470000565052032
1,12249,1224901,NA,49,2,-2.8262200355529785
1,12250,1225001,NA,50,4,-0.14317099750041962
1,12252,1225201,NA,52,4,-1.5152699947357178
1,12253,1225301,NA,53,2,-1.9850300550460815
1,12254,1225401,NA,54,4,-3.100709915161133
1,12255,1225501,NA,55,4,-1.1492300033569336
1,12356,1235601,NA,56,4,-0.43557000160217285
1,12357,1235701,NA,57,2,-4.796760082244873
1,12458,1245801,NA,58,2,0.5600209832191467
1,12459,1245901,NA,59,4,-0.9712349772453308
1,12560,1256001,NA,60,4,-1.768380045890808
1,12561,1256101,NA,61,2,-3.0412399768829346
1,12662,1266201,NA,62,2,-0.38733500242233276
1,12663,1266301,NA,63,2,-1.347000002861023
1,12764,1276401,NA,64,4,1.4915399551391602
1,12765,1276501,NA,65,4,-1.8092999458312988
1,12766,1276601,NA,66,2,-2.210659980773926
1,110101,11010101,NA,67,2,-4.144929885864258
1,110102,11010201,NA,68,2,-4.995389938354492
1,110103,11010301,NA,69,2,-0.8025739789009094
1,110104,11010401,NA,70,2,-1.7680399417877197
1,110104,11010402,NA,70,2,-2.3119900226593018
1,110105,11010501,NA,71,2,-4.114560127258301
1,110106,11010601,NA,72,2,-1.0760799646377563
1,110107,11010701,NA,73,4,-2.248840093612671
1,110208,11020801,NA,74,2,-3.711519956588745
1,110208,11020802,NA,74,2,-1.994789958000183
1,110209,11020901,NA,75,2,-4.845759868621826
1,110310,11031001,NA,76,2,-2.1893599033355713
1,110311,11031101,NA,77,2,-2.779670000076294
1,110312,11031201,NA,78,2,0.25997599959373474
1,110413,11041301,NA,79,2,-4.997200012207031
1,110414,11041401,NA,80,2,-1.4498000144958496
1,110515,11051501,NA,81,2,-3.264580011367798
1,110516,11051601,NA,82,2,0.5607330203056335
1,110516,11051602,NA,82,4,-1.408210039138794
1,110517,11051701,NA,83,2,-0.04860780015587807
1,110519,11051901,NA,85,2,-1.56905996799469
1,110520,11052001,NA,86,4,-1.749619960784912
1,110722,11072201,NA,88,2,-1.778730034828186
1,110723,11072301,NA,89,2,-2.7748000621795654
1,110724,11072401,NA,90,2,-0.3507330119609833
1,110725,11072501,NA,91,2,-4.997200012207031
1,110725,11072502,NA,91,2,-2.6506199836730957
1,110826,11082601,NA,92,2,-1.161520004272461
1,110928,11092801,NA,94,2,-1.0143200159072876
1,111029,11102901,NA,95,2,-2.5861399173736572
1,111030,11103001,NA,96,2,0.8019329905509949
1,111031,11103101,NA,97,2,-1.6878000497817993
1,111032,11103201,NA,98,2,-4.039470195770264
1,111033,11103301,NA,99,2,-3.032089948654175
1,520101,52010101,NA,100,2,-1.3593499660491943
1,520102,52010201,NA,101,2,-2.3298799991607666
1,520103,52010301,NA,102,4,0.12539799511432648
1,520104,52010401,NA,103,4,-1.604599952697754
1,520105,52010502,NA,104,4,-2.282399892807007
1,520106,52010601,NA,105,2,-4.838429927825928
1,520107,52010701,NA,106,6,-0.1527239978313446
1,520107,52010702,NA,106,2,-1.367319941520691
1,520108,52010801,NA,107,4,-0.8828420042991638
1,520109,52010901,NA,108,4,-3.1212899684906006
1,520110,52011001,NA,109,2,-4.425119876861572
1,520111,52011101,NA,110,6,0.45527398586273193
1,520112,52011201,NA,111,6,0.8844410181045532
1,520112,52011202,NA,111,2,-3.8612899780273438
1,520213,52021302,NA,112,2,-4.016089916229248
1,520314,52031401,NA,113,4,-1.4514800310134888
1,520315,52031501,NA,114,4,-0.9281330108642578
1,520316,52031601,NA,115,6,1.0111700296401978
1,520417,52041701,NA,116,6,-0.5238109827041626
1,520418,52041801,NA,117,4,-1.4415099620819092
1,520419,52041901,NA,118,4,-1.0099200010299683
1,520420,52042001,NA,119,3,-1.5963599681854248
1,520521,52052101,NA,120,2,-0.9070450067520142
1,520522,52052201,NA,121,4,0.18811599910259247
1,520523,52052301,NA,122,4,-1.7777400016784668
1,520523,52052302,NA,122,2,-1.8006399869918823
1,520524,52052401,NA,123,4,-0.09323889762163162
1,520524,52052402,NA,123,2,-1.4569100141525269
1,520525,52052501,NA,124,4,-0.2412099987268448
1,520626,52062601,NA,125,2,-4.108479976654053
1,520727,52072701,NA,126,2,-1.748579978942871
1,520728,52072801,NA,127,2,-1.5778100490570068
1,520729,52072901,NA,128,6,-0.726593017578125
1,520830,52083001,NA,129,4,-0.412651002407074
1,520931,52093101,NA,130,2,-1.1742099523544312
1,520932,52093201,NA,131,4,0.3196139931678772
1,520933,52093301,NA,132,4,0.0666842982172966
1,520934,52093401,NA,133,4,-0.011819800361990929
1,520935,52093501,NA,134,3,-3.30757999420166
1,520936,52093602,NA,135,2,-2.3523499965667725
1,520937,52093701,NA,136,2,-2.6536900997161865
1,521038,52103801,NA,137,4,0.17311200499534607
1,521038,52103802,NA,137,2,-2.578809976577759
1,521040,52104001,NA,139,2,-3.236799955368042
1,521141,52114101,NA,140,4,-1.019029974937439
1,660101,66010101,NA,141,2,-1.1034599542617798
1,660102,66010201,NA,142,2,-1.7918399572372437
1,660103,66010301,NA,143,2,0.5971760153770447
1,660104,66010401,NA,144,2,-3.960669994354248
1,660105,66010501,NA,145,2,-2.275710105895996
1,660106,66010601,NA,146,2,-1.6708500385284424
1,660107,66010701,NA,147,6,0.8128700256347656
1,660208,66020801,NA,148,4,-0.014174699783325195
1,660309,66030901,NA,149,2,-3.4225800037384033
1,660310,66031001,NA,150,2,-3.8609399795532227
1,660311,66031103,NA,151,4,-1.4463800191879272
1,660412,66041201,NA,152,4,0.47011899948120117
1,660413,66041301,NA,153,4,-1.7226099967956543
1,660414,66041401,NA,154,2,-1.6237900257110596
1,660414,66041402,NA,154,2,-0.8655110001564026
1,660415,66041501,NA,155,4,0.4855560064315796
1,660516,66051601,NA,156,4,-0.3918589949607849
1,660517,66051701,NA,157,2,-1.334149956703186
1,660618,66061801,NA,158,4,-0.917788028717041
1,660619,66061901,NA,159,4,-2.182539939880371
1,660620,66062001,NA,160,4,-0.6824020147323608
1,660721,66072102,NA,161,6,-1.8897600173950195
1,660722,66072201,NA,162,2,-0.9296500086784363
1,660823,66082301,NA,163,2,-1.9511799812316895
1,660824,66082401,NA,164,4,-0.18976999819278717
1,660925,66092501,NA,165,6,-0.25064200162887573
1,661026,66102601,NA,166,2,-1.592519998550415
1,661127,66112701,NA,167,2,-0.7599200010299683
1,750101,75010106,NA,168,2,-0.8166769742965698
1,750101,75010109,NA,168,4,-0.887952983379364
1,750102,75010201,NA,169,6,0.6319890022277832
1,750103,75010301,NA,170,4,0.8840630054473877
1,750104,75010410,NA,171,4,-0.32979699969291687
1,750105,75010501,NA,172,6,-1.2467199563980103
1,750106,75010601,NA,173,4,0.4263879954814911
1,750107,75010701,NA,174,4,0.6856300234794617
1,750108,75010802,NA,175,4,0.14075300097465515
1,750109,75010901,NA,176,4,-0.5626580119132996
