sheno,wave,timetreat,control,cashtreat,equiptreat,realfinalprofit,treatment,treatment_group
110101604,5,0,TRUE,0,0,351.57537841796875,0,Control
110101604,3,0,TRUE,0,0,205.72216796875,0,Control
110101604,6,0,TRUE,0,0,402.12939453125,0,Control
110101604,4,0,TRUE,0,0,322.3311462402344,0,Control
110101604,2,0,TRUE,0,0,228.24649047851563,0,Control
110101605,6,0,TRUE,0,0,241.2776336669922,0,Control
110101605,2,0,TRUE,0,0,36.519439697265625,0,Control
110101605,5,0,TRUE,0,0,307.6284484863281,0,Control
110101605,4,0,TRUE,0,0,261.3495788574219,0,Control
110101605,3,0,TRUE,0,0,246.86659240722656,0,Control
110201003,2,0,TRUE,0,0,182.59718322753906,0,Control
110201003,4,0,TRUE,0,0,174.23304748535156,0,Control
110201003,5,0,TRUE,0,0,175.78768920898438,0,Control
110201003,6,0,TRUE,0,0,160.8517608642578,0,Control
110201003,3,0,TRUE,0,0,205.72216796875,0,Control
110201004,4,0,TRUE,0,0,609.815673828125,0,Control
110201004,5,0,TRUE,0,0,615.25689697265625,0,Control
110201004,3,0,TRUE,0,0,205.72216796875,0,Control
110201004,2,0,TRUE,0,0,136.94789123535156,0,Control
110201004,6,0,TRUE,0,0,402.12939453125,0,Control
110201005,3,1,FALSE,0,1,246.86659240722656,1,In-kind
110201005,4,2,FALSE,0,1,87.11652374267578,1,In-kind
110201005,6,4,FALSE,0,1,80.4258804321289,1,In-kind
110201005,2,0,FALSE,0,1,18.259719848632813,1,In-kind
110201005,5,3,FALSE,0,1,131.8407745361328,1,In-kind
110201007,3,0,TRUE,0,0,493.7331848144531,0,Control
110201007,4,0,TRUE,0,0,0,0,Control
110201007,5,0,TRUE,0,0,307.6284484863281,0,Control
110201007,6,0,TRUE,0,0,482.5552673339844,0,Control
110201007,2,0,TRUE,0,0,730.38873291015625,0,Control
110201012,2,0,TRUE,0,0,182.59718322753906,0,Control
110201012,5,0,TRUE,0,0,175.78768920898438,0,Control
110201012,6,0,TRUE,0,0,176.9369354248047,0,Control
110201012,3,0,TRUE,0,0,246.86659240722656,0,Control
110201012,4,0,TRUE,0,0,174.23304748535156,0,Control
110201013,2,0,TRUE,0,0,273.8957824707031,0,Control
110201013,6,0,TRUE,0,0,48.25552749633789,0,Control
110201013,3,0,TRUE,0,0,65.83109283447266,0,Control
110201013,5,0,TRUE,0,0,30.762845993041992,0,Control
110201013,4,0,TRUE,0,0,87.11652374267578,0,Control
110201014,4,2,FALSE,1,0,191.65635681152344,1,Cash
110201014,6,4,FALSE,1,0,160.8517608642578,1,Cash
110201014,3,1,FALSE,1,0,164.57772827148438,1,Cash
110201014,2,0,FALSE,1,0,136.94789123535156,1,Cash
110201014,5,3,FALSE,1,0,105.47261047363281,1,Cash
110302401,5,0,TRUE,0,0,26.368152618408203,0,Control
110302401,6,0,TRUE,0,0,241.2776336669922,0,Control
110302401,2,0,TRUE,0,0,164.33746337890625,0,Control
110302401,4,0,TRUE,0,0,174.23304748535156,0,Control
110302401,3,0,TRUE,0,0,98.74663543701172,0,Control
110302407,2,0,TRUE,0,0,36.519439697265625,0,Control
110302407,6,0,TRUE,0,0,16.085174560546875,0,Control
110302407,5,0,TRUE,0,0,8.789384841918945,0,Control
110302407,3,0,TRUE,0,0,57.60220718383789,0,Control
110302407,4,0,TRUE,0,0,43.55826187133789,0,Control
110304501,6,0,TRUE,0,0,36.19164276123047,0,Control
110304501,4,0,TRUE,0,0,130.67478942871094,0,Control
110304501,5,0,TRUE,0,0,43.946922302246094,0,Control
110304501,2,0,TRUE,0,0,45.649295806884766,0,Control
110304501,3,0,TRUE,0,0,98.74663543701172,0,Control
110304502,6,4,FALSE,0,1,176.9369354248047,1,In-kind
110304502,4,2,FALSE,0,1,148.09808349609375,1,In-kind
110304502,5,3,FALSE,0,1,193.366455078125,1,In-kind
110304502,3,1,FALSE,0,1,82.28886413574219,1,In-kind
110304502,2,0,FALSE,0,1,136.94789123535156,1,In-kind
110304503,3,0,TRUE,0,0,82.28886413574219,0,Control
110304503,6,0,TRUE,0,0,80.4258804321289,0,Control
110304503,5,0,TRUE,0,0,219.734619140625,0,Control
110304503,2,0,TRUE,0,0,246.50621032714844,0,Control
110304503,4,0,TRUE,0,0,69.69322204589844,0,Control
110304504,3,0,TRUE,0,0,329.15545654296875,0,Control
110304504,4,0,TRUE,0,0,261.3495788574219,0,Control
110304504,2,0,TRUE,0,0,228.24649047851563,0,Control
110304504,6,0,TRUE,0,0,NA,0,Control
110304504,5,0,TRUE,0,0,175.78768920898438,0,Control
110304507,4,0,TRUE,0,0,348.4660949707031,0,Control
110304507,6,0,TRUE,0,0,176.9369354248047,0,Control
110304507,3,0,TRUE,0,0,411.4443359375,0,Control
110304507,2,0,TRUE,0,0,36.519439697265625,0,Control
110304507,5,0,TRUE,0,0,175.78768920898438,0,Control
110304508,5,3,FALSE,0,1,96.6832275390625,1,In-kind
110304508,3,1,FALSE,0,1,123.43329620361328,1,In-kind
110304508,2,0,FALSE,0,1,27.389577865600586,1,In-kind
110304508,4,2,FALSE,0,1,26.13495635986328,1,In-kind
110304508,6,4,FALSE,0,1,241.2776336669922,1,In-kind
110304509,4,0,TRUE,0,0,87.11652374267578,0,Control
110304509,6,0,TRUE,0,0,32.17034912109375,0,Control
110304509,3,0,TRUE,0,0,123.43329620361328,0,Control
110304509,5,0,TRUE,0,0,26.368152618408203,0,Control
110304509,2,0,TRUE,0,0,109.55831146240234,0,Control
110305405,5,0,TRUE,0,0,52.736305236816406,0,Control
110305405,4,0,TRUE,0,0,52.26991271972656,0,Control
110305405,3,0,TRUE,0,0,164.57772827148438,0,Control
110305405,6,0,TRUE,0,0,40.21294021606445,0,Control
110305405,2,0,TRUE,0,0,228.24649047851563,0,Control
110305407,4,0,TRUE,0,0,87.11652374267578,0,Control
110305407,6,0,TRUE,0,0,120.6388168334961,0,Control
110305407,5,0,TRUE,0,0,87.89384460449219,0,Control
110305407,3,0,TRUE,0,0,82.28886413574219,0,Control
110305407,2,0,TRUE,0,0,54.77915573120117,0,Control
110305409,3,0,TRUE,0,0,65.83109283447266,0,Control
110305409,6,0,TRUE,0,0,36.19164276123047,0,Control
110305409,5,0,TRUE,0,0,NA,0,Control
110305409,2,0,TRUE,0,0,82.168731689453125,0,Control
110305409,4,0,TRUE,0,0,87.11652374267578,0,Control
110308203,4,2,FALSE,0,1,34.84661102294922,1,In-kind
110308203,3,1,FALSE,0,1,8.228886604309082,1,In-kind
110308203,2,0,FALSE,0,1,36.519439697265625,1,In-kind
110308203,6,4,FALSE,0,1,8.0425872802734375,1,In-kind
110308203,5,3,FALSE,0,1,0,1,In-kind
110308205,3,0,TRUE,0,0,24.68665885925293,0,Control
110308205,2,0,TRUE,0,0,18.259719848632813,0,Control
