locality_identifier,household_identifier,treatment_locality,promotion_locality,eligible,enrolled,enrolled_rp,poverty_index,round,health_expenditures,age_hh,age_sp,educ_hh,educ_sp,female_hh,indigenous,hhsize,dirtfloor,bathroom,land,hospital_distance,hospital
26,5,1,1,1,1,1,55.95054244995117,0,15.185455322265625,24,23,0,6,0,0,4,1,0,1,124.81996625011809,0
26,5,1,1,1,1,1,55.95054244995117,1,19.580902099609375,25,24,0,6,0,0,4,1,0,1,124.81996625011809,0
26,11,1,1,1,1,0,46.05873107910156,0,13.07625675201416,30,26,4,0,0,0,6,1,0,2,124.81996625011809,0
26,11,1,1,1,1,0,46.05873107910156,1,2.3988544940948486,31,27,4,0,0,0,6,1,0,2,124.81996625011809,1
26,13,1,1,1,1,0,54.0958251953125,1,0,59,57,0,0,0,0,6,1,0,4,124.81996625011809,1
26,13,1,1,1,1,0,54.0958251953125,0,15.28635311126709,58,56,0,0,0,0,6,1,0,4,124.81996625011809,0
26,16,1,1,1,1,1,56.90340042114258,1,20.02690887451172,36,25,3,0,0,0,7,1,0,2,124.81996625011809,0
26,16,1,1,1,1,1,56.90340042114258,0,11.311760902404785,35,24,3,0,0,0,7,1,0,2,124.81996625011809,0
26,21,1,1,1,1,1,46.908809661865234,0,11.223912239074707,37,35,0,0,0,0,7,1,0,2,124.81996625011809,0
26,21,1,1,1,1,1,46.908809661865234,1,16.66468620300293,39,36,0,0,0,0,7,1,0,2,124.81996625011809,0
26,22,1,1,1,1,1,48.18392562866211,0,8.876924514770508,34,41,0,2,1,0,9,1,0,1,124.81996625011809,0
26,22,1,1,1,1,1,48.18392562866211,1,0.11554642021656036,35,41,0,2,1,0,9,1,0,1,124.81996625011809,0
26,23,1,1,1,1,0,49.690879821777344,1,0,31,30,0,6,0,0,7,0,0,1,124.81996625011809,0
26,23,1,1,1,1,0,49.690879821777344,0,12.685816764831543,30,29,0,6,0,0,7,0,0,1,124.81996625011809,0
26,25,1,1,1,1,1,57.109737396240234,1,17.223697662353516,58,57,3,0,0,0,9,0,0,4,124.81996625011809,0
26,25,1,1,1,1,1,57.109737396240234,0,12.668088912963867,57,56,3,0,0,0,9,0,0,4,124.81996625011809,0
26,27,1,1,1,1,1,49.690879821777344,0,10.580613136291504,24,28,2,6,0,0,7,1,0,2,124.81996625011809,0
26,27,1,1,1,1,1,49.690879821777344,1,1.2849009037017822,25,29,2,6,0,0,7,1,0,2,124.81996625011809,0
26,28,1,1,1,1,1,52.62751007080078,0,7.230708599090576,40,36,0,2,0,0,9,1,0,1,124.81996625011809,0
26,28,1,1,1,1,1,52.62751007080078,1,6.417482376098633,40,37,0,2,0,0,9,1,0,1,124.81996625011809,0
26,29,1,1,1,1,1,53.94126892089844,1,2.5299713611602783,24,23,5,5,0,0,4,0,0,1,124.81996625011809,0
26,29,1,1,1,1,1,53.94126892089844,0,18.566940307617188,23,22,5,5,0,0,4,0,0,1,124.81996625011809,0
26,31,1,1,1,1,0,50.18547439575195,0,11.49043083190918,40,35,2,6,0,0,9,0,0,5,124.81996625011809,0
26,31,1,1,1,1,0,50.18547439575195,1,1.4278709888458252,41,36,2,6,0,0,9,0,0,5,124.81996625011809,0
26,37,1,1,1,1,1,52.12519454956055,1,11.09323787689209,28,27,3,0,0,0,5,1,0,2,124.81996625011809,0
26,37,1,1,1,1,1,52.12519454956055,0,14.83547306060791,27,26,3,0,0,0,5,1,0,2,124.81996625011809,0
26,39,1,1,1,1,0,48.27434158325195,1,6.482361793518066,51,46,2,0,0,0,5,1,0,5,124.81996625011809,0
26,39,1,1,1,1,0,48.27434158325195,0,18.082773208618164,50,45,2,0,0,0,5,1,0,5,124.81996625011809,0
26,41,1,1,1,1,0,53.348533630371094,1,4.9235429763793945,47,39,0,0,0,0,7,1,0,2,124.81996625011809,0
26,41,1,1,1,1,0,53.348533630371094,0,11.994539260864258,46,38,0,0,0,0,7,1,0,2,124.81996625011809,0
26,43,1,1,1,1,1,54.430450439453125,1,0.35405272245407104,41,37,4,0,0,0,8,0,0,2,124.81996625011809,0
26,43,1,1,1,1,1,54.430450439453125,0,13.02629566192627,40,36,4,0,0,0,8,0,0,2,124.81996625011809,0
26,44,1,1,1,1,1,53.1684684753418,0,16.043485641479492,25,41,0,2,1,0,5,1,0,0,124.81996625011809,0
26,44,1,1,1,1,1,53.1684684753418,1,1.2099897861480713,26,41,0,2,1,0,5,1,0,0,124.81996625011809,0
26,50,1,1,1,1,1,49.38176345825195,1,3.111018419265747,41,37,3,0,0,0,10,1,0,3,124.81996625011809,0
26,50,1,1,1,1,1,49.38176345825195,0,6.555757999420166,40,37,3,0,0,0,10,1,0,3,124.81996625011809,0
26,51,1,1,1,1,1,57.49613571166992,0,20.199647903442383,26,20,6,0,0,0,2,1,0,1,124.81996625011809,0
26,51,1,1,1,1,1,57.49613571166992,1,49.68514633178711,27,21,6,0,0,0,2,1,0,1,124.81996625011809,0
62,54,1,1,1,1,1,47.944358825683594,0,8.794682502746582,42,38,1,0,0,0,9,1,0,3,135.4732181423812,0
62,54,1,1,1,1,1,47.944358825683594,1,1.2108614444732666,43,39,1,0,0,0,9,1,0,3,135.4732181423812,0
62,55,1,1,1,1,1,49.38176345825195,0,13.469267845153809,31,30,2,1,0,0,6,1,0,2,135.4732181423812,0
62,55,1,1,1,1,1,49.38176345825195,1,14.989296913146973,32,31,2,1,0,0,6,1,0,2,135.4732181423812,0
62,56,1,1,1,1,1,52.241111755371094,1,2.1873695850372314,32,39,3,2,1,0,6,0,0,2,135.4732181423812,0
62,56,1,1,1,1,1,52.241111755371094,0,18.52703285217285,31,41,3,2,1,0,6,0,0,2,135.4732181423812,0
62,59,1,1,1,1,1,53.554866790771484,1,3.0096561908721924,40,41,0,2,1,0,8,1,0,1,135.4732181423812,0
62,59,1,1,1,1,1,53.554866790771484,0,11.333813667297363,39,41,0,2,1,0,8,1,0,1,135.4732181423812,0
62,64,1,1,1,1,1,49.14992141723633,0,12.280081748962402,47,45,0,0,0,0,7,1,0,2,135.4732181423812,0
62,64,1,1,1,1,1,49.14992141723633,1,4.2185516357421875,48,46,0,0,0,0,7,1,0,2,135.4732181423812,0
62,68,1,1,1,1,0,55.02318572998047,0,17.333120346069336,32,21,2,4,0,0,4,1,0,4,135.4732181423812,0
62,68,1,1,1,1,0,55.02318572998047,1,2.845888376235962,33,22,2,4,0,0,4,1,0,4,135.4732181423812,1
62,71,1,1,1,1,1,55.28052520751953,0,16.66080665588379,66,41,0,2,1,0,7,1,0,12,135.4732181423812,0
62,71,1,1,1,1,1,55.28052520751953,1,0.7506248354911804,67,41,0,2,1,0,7,1,0,12,135.4732181423812,0
134,75,0,0,1,0,0,48.5703239440918,1,22.623767852783203,19,20,0,0,0,1,3,1,0,2,142.13612950435163,0
134,75,0,0,1,0,0,48.5703239440918,0,13.673510551452637,18,19,0,0,0,1,3,1,0,2,142.13612950435163,0
134,76,0,0,1,0,0,39.33539581298828,1,11.783474922180176,28,27,0,0,0,1,6,1,0,2,142.13612950435163,0
134,76,0,0,1,0,0,39.33539581298828,0,9.115094184875488,27,26,0,0,0,1,6,1,0,2,142.13612950435163,0
134,77,0,0,1,0,0,45.98145294189453,1,19.749555587768555,48,48,0,0,0,1,4,1,0,3,142.13612950435163,0
134,77,0,0,1,0,0,45.98145294189453,0,15.975288391113281,47,47,0,0,0,1,4,1,0,3,142.13612950435163,0
134,78,0,0,1,0,0,44.358577728271484,0,14.021095275878906,25,24,1,0,0,1,4,1,0,3,142.13612950435163,0
134,78,0,0,1,0,0,44.358577728271484,1,10.481040000915527,26,25,1,0,0,1,4,1,0,3,142.13612950435163,0
134,80,0,0,1,0,0,45.595054626464844,0,18.676557540893555,36,41,0,2,1,1,3,1,0,1,142.13612950435163,0
134,80,0,0,1,0,0,45.595054626464844,1,18.453140258789063,37,41,0,2,1,1,3,1,0,1,142.13612950435163,0
34,90,1,1,1,1,1,57.30293655395508,0,15.441275596618652,32,41,4,2,1,1,5,1,0,2,163.841865005557,0
34,90,1,1,1,1,1,57.30293655395508,1,0,33,41,4,2,1,1,5,1,0,2,163.841865005557,0
34,97,1,1,1,1,1,55.56414031982422,0,15.16425895690918,50,49,3,1,0,1,5,1,0,3,163.841865005557,0
34,97,1,1,1,1,1,55.56414031982422,1,3.7425177097320557,51,50,3,1,0,1,5,1,0,3,163.841865005557,0
34,99,1,1,1,1,1,55.95054244995117,1,0.5126897692680359,73,73,0,0,0,1,6,1,0,1,163.841865005557,0
34,99,1,1,1,1,1,55.95054244995117,0,11.87441349029541,72,72,0,0,0,1,6,1,0,1,163.841865005557,1
34,100,1,1,1,1,0,57.70247268676758,0,15.86039924621582,67,49,2,0,0,1,5,1,1,2,163.841865005557,0
34,100,1,1,1,1,0,57.70247268676758,1,0,68,50,2,0,0,1,5,1,1,2,163.841865005557,0
34,107,1,1,1,1,1,47.08887481689453,0,8.189170837402344,28,26,3,2,0,1,7,1,0,0,163.841865005557,0
34,107,1,1,1,1,1,47.08887481689453,1,1.5816328525543213,29,27,3,2,0,1,7,1,0,0,163.841865005557,0
34,109,1,1,1,1,1,57.88253402709961,0,12.168863296508789,60,50,0,0,0,1,6,1,0,1,163.841865005557,0
34,109,1,1,1,1,1,57.88253402709961,1,9.088627815246582,61,51,0,0,0,1,6,1,0,1,163.841865005557,0
34,125,1,1,1,1,1,56.41421890258789,0,11.921996116638184,41,39,4,0,0,1,6,1,0,1,163.841865005557,0
34,125,1,1,1,1,1,56.41421890258789,1,0.05883331224322319,42,40,4,0,0,1,6,1,0,1,163.841865005557,0
34,130,1,1,1,1,1,49.459041595458984,1,1.1285459995269775,38,31,0,0,0,1,6,1,0,2,163.841865005557,0
34,130,1,1,1,1,1,49.459041595458984,0,10.351816177368164,37,30,0,0,0,1,6,1,0,2,163.841865005557,0
34,131,1,1,1,1,1,51.70015335083008,1,0.5105878710746765,41,41,0,6,0,1,5,1,0,1,163.841865005557,0
34,131,1,1,1,1,1,51.70015335083008,0,12.975542068481445,40,40,0,6,0,1,5,1,0,1,163.841865005557,0
34,133,1,1,1,1,1,55.48686218261719,0,13.575087547302246,27,22,3,5,0,1,4,1,0,0,163.841865005557,0
34,133,1,1,1,1,1,55.48686218261719,1,0.07598419487476349,28,23,3,5,0,1,4,1,0,0,163.841865005557,0
34,136,1,1,1,1,1,57.959815979003906,0,8.81203556060791,70,50,0,0,0,1,8,1,0,4,163.841865005557,0
34,136,1,1,1,1,1,57.959815979003906,1,0,71,51,0,0,0,1,8,1,0,4,163.841865005557,0
34,138,1,1,1,1,1,49.84543991088867,1,0,34,32,0,4,0,1,7,1,0,1,163.841865005557,0
